,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
16158,50,0.32,0.0,0.0,0.02,0.0,7,0.1987335565683931
34993,70,1.28,0.2,0.0,0.02,2.0,3,0.4071350773267251
5382,30,1.28,0.0,0.0,0.0,0.0,15,0.29881525041769325
23474,60,0.32,0.0,0.02,0.2,0.02,9,0.30205490582681344
7644,40,0.16,0.02,0.0,0.02,0.0,3,0.46169134848119536
46706,90,0.64,0.0,0.02,0.0,0.0,7,0.15235189756320716
41221,80,1.28,0.0,0.0,0.0,0.0,13,0.22726822690155282
35262,70,1.28,0.2,0.2,2.0,0.02,9,0.4349599489994483
25240,60,0.64,0.0,0.02,0.02,0.02,13,0.26920626931979424
25811,60,0.64,0.02,0.2,0.02,2.0,7,0.425321201547096
27272,60,1.28,0.0,2.0,0.2,0.0,3,0.29155890507677196
58924,110,0.16,2.0,0.2,0.0,0.02,13,0.20554944652974041
16103,50,0.16,2.0,2.0,2.0,0.0,9,0.2993789221202714
14998,50,0.16,0.02,0.02,2.0,0.2,11,0.3923844547646416
41009,80,0.64,2.0,0.2,0.0,0.2,9,0.3165180036518338
27203,60,1.28,0.0,0.2,2.0,0.2,5,0.4045101141645523
61241,110,0.64,0.0,0.2,2.0,0.0,13,0.19516505509837917
59439,110,0.32,0.0,0.2,0.2,2.0,7,0.39510925739870345
71423,120,1.28,2.0,0.02,0.2,2.0,7,0.4105623223773803
623,30,0.16,0.02,0.02,0.2,0.02,3,0.2868648912690138
35480,70,1.28,2.0,0.0,2.0,0.0,11,0.38108846411027886
23513,60,0.32,0.0,0.02,2.0,2.0,3,0.41068502359420056
21385,50,1.28,2.0,0.2,2.0,2.0,3,0.38896380429566296
41492,80,1.28,0.0,0.2,0.02,2.0,9,0.42310217182268695
43972,90,0.16,0.2,0.0,0.2,0.02,13,0.32187524249861765
69421,120,0.64,0.2,2.0,2.0,0.02,7,0.4392519650900237
64409,110,1.28,2.0,2.0,0.0,0.02,7,0.4420201340254448
19858,50,1.28,0.0,0.02,0.02,0.0,15,0.2553692314780286
47005,90,0.64,0.0,2.0,0.2,2.0,3,0.4047494606828703
61459,110,0.64,0.02,0.0,0.2,2.0,15,0.4108184807218907
35432,70,1.28,2.0,0.0,0.02,0.02,13,0.41514704809572345
4756,30,0.64,0.2,0.2,0.02,2.0,9,0.4138601726654295
49298,90,1.28,0.2,0.0,0.0,0.2,11,0.2981729366782481
62201,110,0.64,0.2,2.0,0.02,0.02,15,0.3178816828621056
26849,60,0.64,2.0,2.0,0.2,2.0,11,0.38474447507286985
66861,120,0.32,0.02,0.0,2.0,2.0,11,0.403925242271259
389,30,0.16,0.0,2.0,0.02,2.0,11,0.46841134517074196
30740,70,0.32,0.0,0.2,0.02,2.0,9,0.4108982504322368
11998,40,0.64,0.2,2.0,0.0,0.2,3,0.36096880394695596
56406,100,1.28,0.02,2.0,0.2,0.2,3,0.42010451326017434
61831,110,0.64,0.2,0.0,0.0,0.02,3,0.21883081565019977
3620,30,0.64,0.0,0.0,0.02,0.02,5,0.27411493274701293
