,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
7352,80.0,0.16,0.2,2.0,0.2,0.0,0.41531612965447773
8846,90.0,0.64,0.2,0.0,2.0,0.2,0.3837739825742944
6181,70.0,0.16,0.0,0.2,0.02,0.02,0.42675909393303035
6078,60.0,1.28,0.2,2.0,2.0,0.2,0.3775916686134901
1007,10.0,1.28,2.0,0.2,2.0,2.0,0.30704077101325844
6051,60.0,1.28,0.2,0.2,0.0,2.0,0.4010047816643938
9136,90.0,1.28,0.2,2.0,0.0,0.0,0.41606434527969255
7883,80.0,0.64,2.0,0.0,0.2,2.0,0.32036469737292345
2896,30.0,1.28,0.02,0.02,0.0,0.0,0.3969472169530461
7053,70.0,1.28,0.2,0.0,2.0,0.02,0.4162599064470767
3343,40.0,0.32,0.0,0.0,2.0,2.0,0.30087028133270993
222,10.0,0.16,2.0,0.02,2.0,0.2,0.30372417945499014
5230,60.0,0.16,0.02,0.2,2.0,0.2,0.333124311762224
3159,40.0,0.16,0.02,0.02,0.02,2.0,0.36726946382294395
6872,70.0,0.64,2.0,0.02,0.2,0.0,0.41080710755038824
2047,20.0,1.28,2.0,2.0,2.0,2.0,0.32894114661318014
3390,40.0,0.32,0.0,2.0,2.0,0.2,0.3522042497109716
4945,50.0,1.28,0.02,0.02,0.0,0.02,0.39421562812448446
7174,80.0,0.16,0.0,0.0,0.02,0.2,0.40654801221173686
1081,20.0,0.16,0.0,2.0,0.2,0.02,0.4020455361876641
3601,40.0,0.64,0.0,0.02,0.0,0.02,0.3831716775566791
5696,60.0,0.64,0.02,0.0,0.0,0.0,0.4207745962671809
4783,50.0,0.64,0.2,0.2,2.0,2.0,0.31803688024547117
5732,60.0,0.64,0.02,0.2,0.02,0.0,0.411721458466794
6722,70.0,0.64,0.02,0.0,0.0,0.2,0.39320896455939475
4682,50.0,0.64,0.02,0.0,0.2,0.2,0.40412857201471325
5059,50.0,1.28,2.0,0.0,0.0,2.0,0.3961665232562465
